train_loss,epoch,step,test_loss
0.043574217706918716,0,1874,
0.01958633027970791,1,3749,
0.016416938975453377,2,5624,
0.01502920314669609,3,7499,
0.014064004644751549,4,9374,
0.013411941938102245,5,11249,
0.012862274423241615,6,13124,
0.01240425743162632,7,14999,
0.012144314125180244,8,16874,
0.01181251835078001,9,18749,
0.011474644765257835,10,20624,
0.011263647116720676,11,22499,
0.010981736704707146,12,24374,
0.010846938006579876,13,26249,
0.010738550685346127,14,28124,
0.010546506382524967,15,29999,
0.010376915335655212,16,31874,
0.010370788164436817,17,33749,
0.01018927339464426,18,35624,
0.010119481012225151,19,37499,
,19,37500,0.14884302020072937
