train_loss,epoch,step
0.018470998853445053,0,1874
0.010314853861927986,1,3749
0.009089839644730091,2,5624
0.008442938327789307,3,7499
0.0069384584203362465,4,9374
0.00626405468210578,5,11249
0.005690706893801689,6,13124
0.005220355000346899,7,14999
0.004786518402397633,8,16874
0.004508215934038162,9,18749
0.004336880519986153,10,20624
0.0041857217438519,11,22499
0.004004249814897776,12,24374
0.0037767114117741585,13,26249
0.003846073755994439,14,28124
0.0037714247591793537,15,29999
0.0037267503794282675,16,31874
0.0036054193042218685,17,33749
0.003694038139656186,18,35624
0.003546349238604307,19,37499
