train_loss,epoch,step,test_loss
0.028710758313536644,0,1874,
0.011518801562488079,1,3749,
0.009623660705983639,2,5624,
0.008689237758517265,3,7499,
0.008188033476471901,4,9374,
0.007748449221253395,5,11249,
0.007491051219403744,6,13124,
0.0072845290414988995,7,14999,
0.007075473200529814,8,16874,
0.00685065146535635,9,18749,
0.0066995080560445786,10,20624,
0.006624361500144005,11,22499,
0.006441027391701937,12,24374,
0.00630688201636076,13,26249,
0.0062370686791837215,14,28124,
0.006185146514326334,15,29999,
0.00602581026032567,16,31874,
0.005927876103669405,17,33749,
0.005881478078663349,18,35624,
0.005802766419947147,19,37499,
,19,37500,0.16869854927062988
