train_loss,epoch,step,test_loss
0.03761762008070946,0,1874,
0.017925512045621872,1,3749,
0.015732180327177048,2,5624,
0.014664524234831333,3,7499,
0.013916000723838806,4,9374,
0.01330625917762518,5,11249,
0.01278696209192276,6,13124,
0.012346884235739708,7,14999,
0.012051422148942947,8,16874,
0.011796057224273682,9,18749,
0.011488092131912708,10,20624,
0.01124531775712967,11,22499,
0.011084412224590778,12,24374,
0.01097034476697445,13,26249,
0.010689332149922848,14,28124,
0.010440140031278133,15,29999,
0.010334865190088749,16,31874,
0.010227580554783344,17,33749,
0.010113504715263844,18,35624,
0.010024560615420341,19,37499,
,19,37500,0.15014143288135529
