train_loss,epoch,step
0.0404532216489315,0,1874
0.018898647278547287,1,3749
0.01626291126012802,2,5624
0.014979138970375061,3,7499
0.013977909460663795,4,9374
0.013345116749405861,5,11249
0.0129022728651762,6,13124
0.012356620281934738,7,14999
0.011999574489891529,8,16874
0.011658705770969391,9,18749
0.011430113576352596,10,20624
0.011103453114628792,11,22499
0.010925019159913063,12,24374
0.010664882138371468,13,26249
0.010531038045883179,14,28124
0.010384529829025269,15,29999
0.010285617783665657,16,31874
0.010085809044539928,17,33749
0.01002824492752552,18,35624
0.009946932084858418,19,37499
